edad,genero,estrato,semestre,trabaja,horas_estudio_semanal,apoyo_financiero,distancia_km,participacion_extracurricular,promedio_anterior,asistencia_pct,materias_reprobadas,creditos_matriculados,desercion,grupo_estrato
24.0,Femenino,2,4,1,14.9,1,8.2,0,3.5,70.9,0,21,0,Bajo (1-2)
22.0,Femenino,4,4,0,8.9,0,0.8,0,3.04,80.5,0,21,1,Medio (3-4)
20.0,Femenino,6,7,0,15.0,1,5.3,1,2.99,66.2,2,20,1,Alto (5-6)
21.0,Femenino,3,6,0,15.7,1,0.5,0,3.97,77.8,0,19,0,Medio (3-4)
21.0,Femenino,4,7,1,19.9,0,14.4,1,3.47,64.4,2,14,0,Medio (3-4)
17.0,Femenino,3,5,0,15.9,1,1.5,0,2.53,83.1,2,15,0,Medio (3-4)
19.0,Masculino,4,8,0,10.2,0,15.4,1,3.68,70.8,0,12,0,Medio (3-4)
20.0,Femenino,6,2,0,14.4,1,21.9,1,3.36,83.6,2,14,1,Alto (5-6)
20.0,Masculino,2,8,1,0.0,1,13.0,0,3.16,78.2,5,14,1,Bajo (1-2)
21.0,Masculino,2,1,0,0.1,0,11.6,0,2.89,78.8,0,18,0,Bajo (1-2)
23.0,Femenino,3,1,1,14.9,1,3.7,0,4.47,68.7,1,12,0,Medio (3-4)
20.0,Masculino,3,8,1,9.9,0,10.7,0,2.89,72.9,1,21,0,Medio (3-4)
18.0,Masculino,3,2,0,12.4,1,8.5,1,3.17,93.8,2,19,0,Medio (3-4)
21.0,Femenino,1,8,0,19.0,1,13.4,0,3.81,73.8,2,18,0,Bajo (1-2)
20.0,Femenino,3,2,0,22.4,1,0.1,0,3.46,78.2,2,17,0,Medio (3-4)
20.0,Masculino,3,2,1,12.8,0,7.6,1,3.58,73.4,1,14,0,Medio (3-4)
20.0,Femenino,3,10,1,21.1,0,0.6,0,2.08,85.2,2,17,0,Medio (3-4)
25.0,Femenino,4,2,0,17.0,0,6.7,0,3.33,78.8,1,18,0,Medio (3-4)
17.0,Femenino,4,10,0,15.8,0,3.9,0,3.26,70.4,1,20,0,Medio (3-4)
20.0,Masculino,3,4,0,15.4,1,3.8,1,3.23,82.1,1,18,1,Medio (3-4)
20.0,Masculino,4,8,1,0.9,0,9.2,0,2.2,72.6,5,20,0,Medio (3-4)
19.0,Masculino,3,10,0,19.7,0,4.0,0,3.94,91.9,0,16,0,Medio (3-4)
22.0,Masculino,3,2,0,0.0,0,11.8,0,2.35,77.6,0,16,1,Medio (3-4)
22.0,Femenino,3,4,1,8.1,1,9.1,1,3.06,65.2,1,19,0,Medio (3-4)
20.0,Masculino,1,6,1,10.6,1,1.0,0,3.06,80.0,1,18,1,Bajo (1-2)
20.0,Femenino,2,9,1,1.5,0,7.8,1,2.92,96.9,0,15,0,Bajo (1-2)
20.0,Femenino,3,2,0,11.3,0,0.7,0,3.82,90.0,1,16,0,Medio (3-4)
20.0,Masculino,5,2,0,25.0,1,7.5,0,3.82,67.0,1,17,0,Alto (5-6)
20.0,Femenino,4,4,0,20.6,0,8.8,0,3.95,75.3,0,18,0,Medio (3-4)
20.0,Masculino,1,3,0,9.9,1,16.6,0,3.12,77.7,0,15,0,Bajo (1-2)
21.0,Masculino,3,3,0,11.2,1,3.9,1,2.85,81.8,1,13,0,Medio (3-4)
22.0,Masculino,2,2,0,6.3,1,3.9,0,2.81,81.8,3,20,0,Bajo (1-2)
18.0,Masculino,4,9,1,11.7,0,12.3,0,2.98,71.6,1,15,1,Medio (3-4)
18.0,Masculino,4,8,1,9.7,1,9.6,0,3.32,65.8,2,13,1,Medio (3-4)
17.0,Femenino,3,2,1,0.0,1,18.5,0,2.65,84.5,1,14,0,Medio (3-4)
22.0,Femenino,3,6,1,12.7,0,6.3,1,2.77,67.8,1,20,0,Medio (3-4)
21.0,Femenino,2,7,0,16.6,1,2.5,0,3.24,70.0,1,13,1,Bajo (1-2)
22.0,Femenino,3,7,1,13.0,0,2.3,1,2.42,67.7,2,18,1,Medio (3-4)
17.0,Femenino,5,10,0,13.6,1,3.2,0,3.12,84.1,0,16,0,Alto (5-6)
24.0,Masculino,4,7,0,11.8,1,18.4,1,3.13,83.1,2,18,0,Medio (3-4)
19.0,Femenino,3,7,1,22.5,0,12.1,1,4.51,87.8,0,19,0,Medio (3-4)
21.0,Femenino,3,1,1,9.5,0,3.9,0,3.7,67.1,1,14,0,Medio (3-4)
22.0,Femenino,1,1,1,10.5,0,16.5,0,2.56,62.5,0,15,1,Bajo (1-2)
18.0,Femenino,2,7,0,10.8,0,1.7,1,3.19,77.6,2,19,0,Bajo (1-2)
19.0,Masculino,2,10,1,17.4,1,23.7,0,3.49,73.2,0,21,0,Bajo (1-2)
21.0,Masculino,3,4,0,5.3,0,1.0,0,2.72,80.1,2,20,0,Medio (3-4)
27.0,Masculino,5,7,0,11.2,1,19.5,1,3.02,65.2,1,15,1,Alto (5-6)
21.0,Masculino,3,3,0,6.8,0,2.6,1,2.73,86.8,2,14,0,Medio (3-4)
24.0,Femenino,2,5,0,10.4,1,12.3,1,4.0,73.1,2,21,1,Bajo (1-2)
23.0,Masculino,1,8,1,16.4,1,0.9,1,3.13,72.5,0,18,0,Bajo (1-2)
21.0,Femenino,2,7,1,2.3,1,3.5,0,2.87,86.7,3,13,1,Bajo (1-2)
18.0,Femenino,4,2,0,18.3,1,1.8,1,2.16,60.2,0,18,0,Medio (3-4)
23.0,Femenino,3,9,0,23.1,1,21.0,0,4.05,81.2,1,15,0,Medio (3-4)
17.0,Masculino,4,10,1,7.1,1,2.0,1,3.51,82.2,0,13,0,Medio (3-4)
24.0,Femenino,4,5,0,20.0,1,4.3,0,2.97,69.8,0,13,0,Medio (3-4)
21.0,Femenino,1,4,0,17.2,0,0.8,0,3.12,73.5,1,15,0,Bajo (1-2)
17.0,Femenino,3,6,1,13.0,0,6.8,1,3.41,91.2,1,14,0,Medio (3-4)
20.0,Femenino,6,9,0,18.5,0,43.9,0,3.44,97.6,0,19,0,Alto (5-6)
22.0,Masculino,3,5,1,21.1,1,3.4,0,3.78,85.6,0,13,0,Medio (3-4)
20.0,Femenino,1,1,0,10.2,1,41.2,0,2.91,96.9,2,13,1,Bajo (1-2)
22.0,Femenino,5,1,1,8.5,0,8.5,0,3.91,68.1,2,18,1,Alto (5-6)
19.0,Femenino,5,9,1,4.3,1,3.7,0,2.46,59.2,2,16,0,Alto (5-6)
18.0,Masculino,3,8,0,20.0,0,11.6,1,4.84,81.5,0,14,0,Medio (3-4)
20.0,Femenino,3,8,1,15.7,1,0.4,0,3.93,83.0,1,12,1,Medio (3-4)
21.0,Femenino,2,2,1,3.5,0,13.1,0,3.17,56.5,4,12,0,Bajo (1-2)
20.0,Femenino,4,2,0,1.2,0,7.2,0,2.13,68.7,2,14,0,Medio (3-4)
23.0,Masculino,3,4,1,7.8,1,5.0,1,3.4,70.8,0,14,0,Medio (3-4)
19.0,Masculino,1,3,1,16.9,0,11.2,1,3.66,82.6,3,17,1,Bajo (1-2)
21.0,Masculino,4,4,0,13.6,1,3.6,0,2.15,80.3,0,18,1,Medio (3-4)
21.0,Femenino,6,6,1,12.8,1,10.9,0,2.47,67.2,1,13,1,Alto (5-6)
17.0,Masculino,4,3,0,10.9,1,18.3,1,3.27,83.8,1,16,0,Medio (3-4)
18.0,Masculino,2,2,0,20.1,0,1.7,0,3.44,66.6,4,16,0,Bajo (1-2)
21.0,Masculino,1,5,1,15.1,0,4.3,0,3.02,70.7,0,13,0,Bajo (1-2)
25.0,Femenino,5,8,1,12.4,0,13.2,0,3.7,62.4,1,16,0,Alto (5-6)
22.0,Femenino,5,7,0,15.0,0,1.0,0,2.83,76.5,1,12,1,Alto (5-6)
17.0,Femenino,3,4,1,11.1,0,2.3,1,2.87,71.0,2,15,1,Medio (3-4)
17.0,Masculino,3,4,1,16.9,0,4.4,1,3.04,85.9,2,19,1,Medio (3-4)
22.0,Femenino,3,6,1,6.1,1,2.6,1,3.13,78.7,2,14,0,Medio (3-4)
20.0,Femenino,3,2,1,14.8,1,5.4,0,2.41,72.7,2,19,1,Medio (3-4)
23.0,Femenino,1,9,0,18.7,1,12.4,1,3.19,99.7,1,13,0,Bajo (1-2)
19.0,Masculino,1,9,1,16.1,0,14.1,0,2.46,78.8,2,16,0,Bajo (1-2)
21.0,Femenino,2,1,1,17.9,0,29.2,1,3.25,75.3,2,21,1,Bajo (1-2)
22.0,Masculino,4,10,0,8.2,0,3.9,0,3.33,72.2,4,17,0,Medio (3-4)
20.0,Masculino,2,1,0,9.1,0,2.4,0,3.38,66.2,0,20,0,Bajo (1-2)
20.0,Masculino,2,5,0,11.4,0,1.8,0,2.75,77.3,1,14,1,Bajo (1-2)
21.0,Femenino,3,7,1,10.8,1,4.4,1,3.35,82.1,1,13,1,Medio (3-4)
22.0,Masculino,2,4,0,13.3,1,5.0,0,3.1,58.9,1,16,1,Bajo (1-2)
20.0,Masculino,2,3,1,5.4,0,18.4,0,3.52,61.4,1,14,1,Bajo (1-2)
23.0,Masculino,3,1,0,7.2,1,4.7,0,2.86,72.8,1,19,0,Medio (3-4)
19.0,Femenino,3,8,0,1.4,1,1.3,1,1.18,71.0,1,15,0,Medio (3-4)
18.0,Femenino,3,1,0,0.0,0,2.8,1,3.05,82.4,3,19,1,Medio (3-4)
25.0,Femenino,5,5,1,7.8,1,0.1,1,2.72,80.8,1,12,0,Alto (5-6)
19.0,Femenino,2,4,0,27.9,0,12.4,0,3.72,76.8,0,15,0,Bajo (1-2)
19.0,Femenino,5,10,0,24.8,0,2.3,1,3.88,87.5,1,14,0,Alto (5-6)
20.0,Femenino,5,10,0,8.1,1,0.1,0,2.25,72.2,1,18,1,Alto (5-6)
21.0,Femenino,4,9,0,14.9,0,2.2,0,3.31,77.5,1,14,0,Medio (3-4)
20.0,Masculino,3,8,1,0.3,1,7.1,1,2.88,69.0,0,16,0,Medio (3-4)
20.0,Femenino,3,6,0,6.1,0,4.0,0,3.06,80.8,0,15,0,Medio (3-4)
20.0,Masculino,3,4,0,6.8,1,8.5,0,2.61,78.8,3,19,1,Medio (3-4)
21.0,Masculino,4,2,1,11.2,0,5.1,0,3.6,63.0,2,15,0,Medio (3-4)
17.0,Femenino,1,10,1,5.3,1,3.9,1,2.34,77.4,5,18,1,Bajo (1-2)
25.0,Masculino,6,4,0,15.5,1,7.2,1,2.99,81.6,0,12,0,Alto (5-6)
20.0,Femenino,3,5,1,14.6,1,13.8,0,3.19,77.8,0,19,1,Medio (3-4)
22.0,Masculino,4,2,1,9.8,0,0.9,1,3.19,82.2,1,18,1,Medio (3-4)
17.0,Femenino,3,3,1,8.1,0,3.7,0,2.8,67.8,2,13,0,Medio (3-4)
19.0,Masculino,1,7,1,5.6,1,1.8,0,3.47,82.6,1,13,0,Bajo (1-2)
19.0,Femenino,3,5,0,5.9,0,17.0,0,3.01,83.2,0,15,0,Medio (3-4)
24.0,Femenino,3,6,0,5.0,0,3.8,0,2.86,70.8,2,21,0,Medio (3-4)
19.0,Femenino,3,3,0,17.9,1,8.0,0,3.54,66.6,1,14,1,Medio (3-4)
22.0,Masculino,2,1,0,12.0,0,3.1,1,3.51,75.5,2,16,0,Bajo (1-2)
19.0,Masculino,2,9,1,0.0,0,1.7,1,2.72,64.3,1,16,0,Bajo (1-2)
20.0,Femenino,3,5,1,11.1,1,1.6,0,2.19,77.1,1,14,0,Medio (3-4)
20.0,Femenino,3,4,0,6.5,0,6.5,1,3.44,93.8,3,16,0,Medio (3-4)
23.0,Femenino,6,3,0,24.0,1,2.6,1,3.74,96.2,0,13,0,Alto (5-6)
17.0,Masculino,2,7,1,5.2,0,6.1,0,3.18,64.1,1,18,1,Bajo (1-2)
18.0,Femenino,2,6,0,18.1,0,10.0,0,3.21,85.9,1,13,1,Bajo (1-2)
17.0,Femenino,2,4,0,20.5,1,4.8,0,2.61,78.8,2,17,0,Bajo (1-2)
18.0,Masculino,3,10,0,8.3,0,2.7,0,1.83,54.0,2,15,1,Medio (3-4)
19.0,Masculino,3,10,1,8.0,1,7.2,0,2.49,71.7,2,17,0,Medio (3-4)
17.0,Femenino,3,2,1,14.7,0,2.5,0,3.52,70.6,0,17,0,Medio (3-4)
19.0,Masculino,6,7,0,14.7,0,13.1,0,3.91,90.1,2,18,0,Alto (5-6)
17.0,Femenino,2,10,0,16.2,0,2.2,0,3.48,69.3,4,18,1,Bajo (1-2)
18.0,Masculino,4,5,1,1.6,0,8.1,0,2.15,80.6,0,14,1,Medio (3-4)
23.0,Femenino,1,1,0,17.3,0,11.6,0,2.99,76.9,4,17,1,Bajo (1-2)
21.0,Masculino,2,2,1,8.7,1,53.8,0,3.67,60.5,1,14,1,Bajo (1-2)
21.0,Masculino,3,7,0,16.1,0,5.4,1,2.67,76.5,3,15,0,Medio (3-4)
18.0,Masculino,1,10,0,19.5,0,17.3,0,4.53,93.3,1,14,0,Bajo (1-2)
17.0,Femenino,3,2,1,14.2,0,3.3,0,4.18,73.3,0,17,0,Medio (3-4)
18.0,Masculino,4,6,0,16.1,0,0.1,0,4.39,87.1,0,19,1,Medio (3-4)
20.0,Femenino,4,5,0,17.9,0,0.2,0,3.59,86.5,1,18,0,Medio (3-4)
22.0,Femenino,3,3,1,13.6,1,5.4,0,3.04,70.5,1,12,1,Medio (3-4)
22.0,Masculino,3,7,0,23.0,1,6.5,0,3.81,65.2,1,12,0,Medio (3-4)
22.0,Femenino,3,9,0,13.8,1,4.8,0,3.68,66.5,1,15,1,Medio (3-4)
19.0,Masculino,1,3,1,7.0,0,2.8,0,2.59,89.5,1,17,1,Bajo (1-2)
21.0,Masculino,1,1,0,19.6,0,7.8,0,2.93,79.5,0,14,0,Bajo (1-2)
20.0,Femenino,4,4,0,11.1,1,1.3,1,2.96,64.7,2,21,0,Medio (3-4)
20.0,Masculino,6,4,1,1.3,0,20.2,0,2.27,83.3,1,17,1,Alto (5-6)
25.0,Femenino,1,8,1,13.6,1,1.9,0,3.83,57.1,0,20,1,Bajo (1-2)
17.0,Femenino,3,6,0,12.8,1,20.9,0,2.87,69.7,4,21,1,Medio (3-4)
20.0,Femenino,4,1,0,6.8,0,10.4,0,2.95,78.8,0,12,0,Medio (3-4)
23.0,Masculino,4,4,1,14.1,1,6.0,0,3.73,100.0,2,20,0,Medio (3-4)
17.0,Femenino,3,8,0,22.6,0,0.3,0,4.26,86.2,1,12,0,Medio (3-4)
19.0,Femenino,3,5,0,4.2,0,9.8,0,2.89,73.2,1,13,1,Medio (3-4)
19.0,Femenino,4,6,0,20.1,0,9.1,1,3.7,82.3,0,17,0,Medio (3-4)
20.0,Masculino,5,3,0,0.0,0,0.7,0,2.09,87.2,1,17,1,Alto (5-6)
17.0,Masculino,2,4,1,7.4,0,25.4,0,3.44,89.2,3,18,1,Bajo (1-2)
22.0,Masculino,5,2,0,25.0,1,4.7,0,4.36,75.5,0,12,0,Alto (5-6)
22.0,Masculino,1,1,1,8.7,1,0.1,0,2.06,72.8,1,13,0,Bajo (1-2)
22.0,Masculino,4,1,1,8.7,0,7.0,0,3.87,66.7,1,19,1,Medio (3-4)
19.0,Femenino,1,7,1,17.1,0,9.6,0,3.02,81.7,0,17,0,Bajo (1-2)
21.0,Femenino,2,2,0,3.7,1,16.8,1,3.06,92.3,2,15,0,Bajo (1-2)
19.0,Masculino,1,6,1,10.5,0,13.2,1,3.11,59.6,2,13,1,Bajo (1-2)
20.0,Masculino,3,10,0,14.4,1,9.4,1,3.22,78.0,0,14,0,Medio (3-4)
25.0,Femenino,2,7,1,22.6,0,3.2,0,3.51,62.9,2,15,1,Bajo (1-2)
21.0,Femenino,2,6,0,6.6,1,0.1,0,2.4,79.5,1,16,0,Bajo (1-2)
18.0,Masculino,3,2,0,11.7,0,2.9,0,3.39,65.6,2,20,1,Medio (3-4)
21.0,Femenino,3,5,1,6.0,0,3.9,1,2.72,65.8,1,16,1,Medio (3-4)
18.0,Masculino,4,9,0,7.8,1,4.0,0,2.3,89.2,5,16,0,Medio (3-4)
18.0,Femenino,5,4,1,18.7,0,10.3,0,2.92,73.3,2,21,1,Alto (5-6)
18.0,Femenino,4,9,1,13.3,0,35.5,0,2.55,74.4,1,12,1,Medio (3-4)
20.0,Masculino,2,8,0,10.7,0,2.3,0,2.82,82.3,3,12,1,Bajo (1-2)
23.0,Femenino,2,3,0,10.9,1,60.0,0,3.33,87.7,0,21,0,Bajo (1-2)
22.0,Femenino,5,2,0,10.6,0,19.4,0,2.72,73.8,2,21,0,Alto (5-6)
22.0,Masculino,1,1,1,7.4,0,1.1,0,3.42,71.0,3,16,0,Bajo (1-2)
18.0,Masculino,3,3,0,6.4,0,18.2,0,2.83,74.1,0,14,1,Medio (3-4)
19.0,Femenino,5,4,0,12.4,0,3.4,0,3.02,88.8,3,13,1,Alto (5-6)
21.0,Femenino,6,7,0,11.8,1,10.5,0,3.14,77.3,2,13,0,Alto (5-6)
19.0,Masculino,3,6,0,9.5,0,9.0,1,3.72,79.1,2,20,1,Medio (3-4)
20.0,Masculino,4,5,0,14.9,0,20.9,0,2.59,81.9,3,19,1,Medio (3-4)
21.0,Femenino,3,8,1,10.0,0,14.1,0,3.88,93.3,1,20,1,Medio (3-4)
20.0,Femenino,4,8,1,7.6,0,6.2,0,3.42,75.7,0,17,0,Medio (3-4)
21.0,Femenino,1,8,1,7.4,1,5.0,0,2.92,72.3,2,18,0,Bajo (1-2)
24.0,Femenino,2,9,1,22.5,0,3.1,0,4.21,94.4,0,20,1,Bajo (1-2)
20.0,Femenino,3,4,0,26.7,1,5.5,0,3.64,91.3,0,15,0,Medio (3-4)
23.0,Masculino,2,9,1,1.6,0,9.2,0,2.81,86.8,0,17,0,Bajo (1-2)
22.0,Femenino,4,5,0,8.5,1,1.9,0,2.71,73.0,0,14,0,Medio (3-4)
17.0,Femenino,3,2,1,4.5,0,1.0,0,3.28,69.0,0,17,0,Medio (3-4)
18.0,Masculino,5,2,0,20.3,0,6.7,1,3.16,63.7,1,14,0,Alto (5-6)
19.0,Masculino,4,1,0,11.6,0,22.7,0,3.1,87.6,1,14,1,Medio (3-4)
19.0,Femenino,3,10,1,14.4,0,4.3,0,3.59,75.8,1,15,1,Medio (3-4)
20.0,Masculino,4,2,0,26.0,1,5.4,1,4.29,64.0,0,21,0,Medio (3-4)
22.0,Masculino,2,9,0,13.9,1,1.1,1,2.82,94.0,1,14,0,Bajo (1-2)
23.0,Masculino,3,8,1,14.9,0,3.1,0,3.65,71.6,1,18,0,Medio (3-4)
21.0,Femenino,2,5,1,10.5,0,12.4,0,2.58,72.9,2,17,1,Bajo (1-2)
20.0,Femenino,5,10,0,10.5,1,21.8,0,2.0,62.9,1,18,1,Alto (5-6)
17.0,Masculino,4,10,1,20.0,0,5.3,1,3.13,83.9,1,13,1,Medio (3-4)
21.0,Femenino,5,10,1,2.9,0,0.5,0,3.15,80.0,1,19,1,Alto (5-6)
21.0,Femenino,5,5,0,22.0,1,1.5,1,3.59,81.5,1,19,0,Alto (5-6)
21.0,Femenino,6,3,0,10.5,0,0.6,0,2.8,73.8,2,13,1,Alto (5-6)
25.0,Masculino,2,1,1,6.7,0,6.9,0,2.93,100.0,2,15,0,Bajo (1-2)
23.0,Masculino,5,9,1,2.7,0,30.0,1,2.73,67.0,1,20,0,Alto (5-6)
22.0,Femenino,3,9,0,8.5,0,4.3,0,3.29,70.8,1,14,0,Medio (3-4)
18.0,Masculino,3,6,0,11.4,1,8.5,0,2.31,85.1,3,17,1,Medio (3-4)
19.0,Femenino,3,1,1,0.0,1,0.4,0,2.55,64.9,0,20,0,Medio (3-4)
20.0,Masculino,2,9,0,12.6,1,4.3,0,3.23,67.1,1,20,1,Bajo (1-2)
19.0,Masculino,2,3,0,11.0,0,5.3,0,2.41,89.3,1,15,0,Bajo (1-2)
22.0,Femenino,2,6,1,17.8,1,4.1,0,2.71,81.1,1,19,1,Bajo (1-2)
21.0,Femenino,1,7,1,9.4,1,0.3,0,2.84,79.8,1,21,1,Bajo (1-2)
18.0,Femenino,3,2,0,9.8,1,10.9,0,3.04,79.8,3,16,1,Medio (3-4)
23.0,Masculino,5,1,0,11.2,1,28.9,1,3.11,75.1,1,21,0,Alto (5-6)
21.0,Masculino,3,1,0,12.6,1,8.5,0,2.89,75.5,2,19,0,Medio (3-4)
17.0,Masculino,3,10,1,20.4,1,6.4,0,3.22,74.2,1,18,0,Medio (3-4)
20.0,Masculino,3,10,0,9.1,1,2.8,0,2.81,86.5,2,19,1,Medio (3-4)
21.0,Femenino,3,5,0,9.7,1,13.1,0,3.18,82.3,4,13,0,Medio (3-4)
23.0,Masculino,2,5,0,7.2,0,8.5,1,3.55,72.7,1,12,1,Bajo (1-2)
20.0,Femenino,4,5,0,5.1,1,15.4,1,1.72,89.9,0,20,0,Medio (3-4)
22.0,Femenino,2,4,0,15.8,1,13.7,1,3.62,65.2,1,19,0,Bajo (1-2)
21.0,Masculino,4,6,0,15.2,0,13.0,1,3.23,78.8,1,21,0,Medio (3-4)
18.0,Masculino,4,4,0,21.7,0,1.6,0,3.84,66.6,1,17,0,Medio (3-4)
17.0,Femenino,3,7,0,20.2,0,20.0,0,4.1,69.4,0,15,0,Medio (3-4)
23.0,Masculino,5,4,0,28.4,1,3.8,0,3.5,97.3,2,20,0,Alto (5-6)
23.0,Masculino,2,7,0,13.6,0,2.5,1,3.68,67.3,2,21,0,Bajo (1-2)
21.0,Masculino,5,10,0,12.4,0,19.4,0,2.53,69.8,0,20,1,Alto (5-6)
24.0,Masculino,4,3,0,6.2,0,3.4,0,2.94,83.1,2,20,0,Medio (3-4)
23.0,Femenino,4,1,0,18.2,0,3.9,1,3.3,77.3,0,13,0,Medio (3-4)
22.0,Femenino,4,6,0,14.7,1,13.9,0,3.29,79.6,0,20,1,Medio (3-4)
18.0,Femenino,4,2,0,17.9,0,1.1,1,2.91,96.3,5,12,0,Medio (3-4)
24.0,Masculino,6,3,0,7.2,0,17.5,1,3.14,88.5,2,19,0,Alto (5-6)
22.0,Masculino,3,8,0,16.1,0,1.8,1,4.12,77.3,0,13,0,Medio (3-4)
20.0,Femenino,4,5,1,13.5,1,11.8,0,2.72,73.7,2,12,1,Medio (3-4)
19.0,Femenino,4,6,1,11.9,0,7.4,0,3.23,80.3,1,19,0,Medio (3-4)
21.0,Femenino,3,8,0,9.9,0,1.7,1,3.47,88.3,3,15,0,Medio (3-4)
17.0,Masculino,5,2,0,21.1,0,6.8,0,3.4,78.2,2,20,1,Alto (5-6)
22.0,Masculino,3,5,0,26.3,1,7.6,0,4.46,81.6,0,14,0,Medio (3-4)
18.0,Femenino,3,1,0,7.3,1,12.0,1,2.72,85.6,3,19,0,Medio (3-4)
21.0,Femenino,1,5,1,17.1,1,28.2,1,3.31,78.1,2,18,0,Bajo (1-2)
19.0,Masculino,2,3,0,0.0,0,10.7,1,2.1,75.9,2,20,1,Bajo (1-2)
20.0,Femenino,4,10,1,13.4,1,1.0,0,3.27,82.4,2,20,0,Medio (3-4)
19.0,Masculino,3,3,0,2.8,1,6.2,0,2.73,80.9,1,17,0,Medio (3-4)
20.0,Femenino,3,3,1,6.3,0,3.0,1,3.2,58.2,2,15,0,Medio (3-4)
25.0,Femenino,2,1,1,3.4,1,18.8,0,2.43,66.7,2,17,0,Bajo (1-2)
24.0,Masculino,3,2,0,12.7,1,2.7,0,2.83,73.2,1,18,0,Medio (3-4)
21.0,Femenino,4,3,1,10.0,1,16.5,0,3.28,73.0,2,21,0,Medio (3-4)
20.0,Femenino,5,3,1,0.0,1,3.3,1,3.3,91.0,3,13,0,Alto (5-6)
22.0,Femenino,1,8,1,8.4,0,2.7,0,3.29,100.0,1,12,0,Bajo (1-2)
23.0,Femenino,3,9,0,10.9,0,11.6,0,4.02,53.4,1,16,1,Medio (3-4)
19.0,Femenino,3,9,0,23.5,0,14.2,0,3.93,81.0,1,16,1,Medio (3-4)
20.0,Femenino,3,10,0,16.6,0,3.6,0,3.61,78.7,2,21,0,Medio (3-4)
17.0,Femenino,3,9,0,6.9,0,7.5,1,3.25,80.2,0,14,1,Medio (3-4)
23.0,Femenino,3,5,0,11.2,0,2.4,0,3.85,83.4,1,13,1,Medio (3-4)
25.0,Masculino,3,4,0,23.3,1,15.0,0,4.27,79.5,1,13,1,Medio (3-4)
